age	mileage	price
10	101579	17681
5	497865	6169
8	166928	17067
3	313242	19222
3	341382	16098
4	121713	24545
4	196108	19470
6	217421	22516
1	389014	20309
8	335104	9541
1	182003	27954
2	142073	27500
18	23786	9731
10	223735	14407
2	296174	20574
12	19983	19804
3	139679	26998
25	283609	500
8	362642	11481
5	138778	23715
4	40153	28004
9	127683	17184
11	201496	12107
3	190328	28373
8	74186	21495
5	204905	21177
13	443493	1243
15	127540	8061
13	165515	9472
6	177132	20040
8	277436	15460
10	136969	14078
2	60997	35442
6	241591	19060
11	62990	20981
8	151947	18168
10	101785	21942
7	413923	7022
10	438117	4885
12	131540	14263
6	79479	26712
15	424209	500
11	212011	11132
13	247130	4313
13	336556	5522
11	197907	10058
9	228610	16956
10	498327	500
2	196085	28040
12	113536	13971
9	397641	7979
2	164169	27558
13	399706	500
1	329516	23003
3	44400	33928
6	160656	22659
12	489224	500
11	288106	7270
7	121322	24756
10	222953	11673
7	174625	19372
2	170868	32627
9	92394	19700
6	100127	27038
9	32931	25210
7	28873	29137
9	278799	9867
10	137383	15662
6	312471	13990
12	406171	500
9	278402	10998
10	9443	23779
4	413363	8409
10	272972	13081
17	3756	13277
14	405019	500
13	121761	10210
4	204549	20526
9	383564	5088
4	356151	13020
10	461049	500
5	380915	11285
8	450983	6229
10	164382	16649
9	290704	8490
9	473938	801
17	98177	10691
6	170068	21185
8	40703	26873
2	154444	28873
9	498903	1320
8	363440	5784
2	371703	17103
1	389734	21010
5	174997	22231
16	266867	2008
5	251265	18374
6	303005	12090
10	153911	15056
8	364322	6914
7	420575	7094
11	218931	11558
10	460965	500
6	116854	24369
12	294245	5220
9	349710	7133
9	135748	15973
14	440067	500
7	462692	3942
7	41931	29685
8	381008	7775
2	431953	15505
18	201308	5045
15	129409	8874
14	969	19558
13	136047	13820
11	303700	6901
9	309838	9302
8	32279	26127
15	39383	15924
8	354546	8829
9	2132	26044
6	196237	20191
7	29670	29933
4	234409	21986
8	300493	11702
15	15984	15585
8	368554	7896
14	364264	500
9	18926	24070
13	181877	9915
2	60427	33921
2	300071	21948
2	267829	25972
6	234922	19137
9	79984	21915
14	445283	500
12	223751	10952
7	56269	28994
1	78295	30933
18	418035	500
9	134991	18058
11	271742	9382
12	229934	11528
13	21790	16201
6	328885	13651
3	442443	11677
4	405928	10987
5	148260	25529
14	232837	8487
7	337914	10614
1	242856	22192
8	454655	3675
8	91465	21638
5	120579	25222
15	446377	500
11	387059	4776
5	389851	13313
8	360423	8669
9	94963	16555
6	395141	10596
6	400516	8843
4	417308	13644
1	308152	27583
10	292339	3978
12	156502	11992
1	39874	37339
13	335619	500
5	333856	11992
9	151832	17433
5	359280	14532
8	178656	18053
7	314264	13316
2	18210	34594
12	171961	14861
3	134850	26210
3	466811	14532
16	316933	500
5	123999	23496
11	56956	19582
17	189665	6523
1	372791	19919
4	11609	32113
7	204373	20147
16	383990	500
12	391507	2065
10	38757	23257
1	130258	35659
15	415066	500
14	478192	500
19	422686	500
7	264598	16194
11	129892	16098
1	257757	26599
6	128685	21552
5	311708	17196
8	419290	6275
1	456073	20019
8	148675	20396
19	237620	500
5	244040	17914
11	176295	18542
1	428962	15224
8	414985	2479
7	474889	5341
9	228185	13655
10	68085	23312
7	63880	29367
1	64901	37138
7	231435	19998
6	243525	21493
13	203975	7778
1	357203	19612
12	59490	18399
7	227446	15097
12	393581	2159
17	210518	1008
5	138847	23099
6	74228	27875
4	47102	27681
8	266051	12894
6	284156	15222
9	3588	27094
15	82438	14478
7	272507	17162
7	42474	23024
11	109447	15628
6	404546	13665
5	284079	16783
11	227105	12623
4	232936	18005
4	441185	13390
8	408365	8638
1	465894	12642
11	494117	2113
3	106680	27092
24	254346	500
5	41147	29967
4	318326	15441
15	341124	940
12	239511	8014
8	303653	12030
13	97221	16530
8	392428	8237
11	358596	5476
10	10401	23852
16	149147	5909
10	73093	19799
16	147580	8701
1	413102	14020
4	123996	26467
1	183714	30495
1	295520	21289
7	300915	14114
13	307857	4326
16	320466	500
1	4972	38152
11	276915	9392
5	292489	16999
7	417699	10845
16	440862	500
13	192954	8197
3	119481	30389
4	284888	17742
6	322490	14027
14	165751	10645
12	223629	14235
9	488068	500
8	329082	9627
18	80444	10133
5	163489	19237
9	482445	3388
15	419673	500
1	231287	26264
14	278034	1647
8	55189	22233
10	420871	2422
5	64779	29975
11	365511	5165
7	488824	4916
1	436949	15849
5	313997	15364
14	452352	500
11	135537	16787
14	108841	13233
13	167400	11463
5	252379	19600
7	299509	12575
10	278626	7207
1	89537	30417
11	129030	18544
6	346728	10238
11	368108	3637
5	145507	24298
14	300122	500
1	395075	17723
1	452063	17784
3	373214	16684
4	47323	30879
3	139814	27045
9	456021	3050
7	270309	15579
12	202582	9637
7	286960	12256
12	261275	6721
17	124709	1433
4	465566	9871
12	345771	500
6	466250	8289
3	325836	17642
14	238694	2625
4	218697	22827
10	336434	7136
11	222699	9043
1	482463	14478
13	296423	4649
2	488212	10168
4	224682	17932
5	305496	18299
14	18933	16897
6	23076	26503
1	474709	13218
5	103825	23578
7	300746	9844
1	140457	29928
8	360055	9210
11	455959	500
7	36555	28390
10	290957	9321
13	380427	2799
11	108059	15077
1	450835	13638
5	92377	26097
10	178389	16579
3	434654	11463
6	215286	20570
8	186439	17102
2	378371	20493
11	417492	4277
6	171174	17265
7	97023	22987
17	387412	500
17	189027	3551
13	149644	14871
11	302248	5724
2	469849	14924
1	488206	15426
17	377027	500
5	471460	8937
3	173196	26517
7	412258	7737
3	276178	23639
5	131495	24579
15	227908	2700
5	397894	12321
7	347551	7113
1	132320	33807
6	264247	16812
9	196938	17065
3	99238	29694
15	46076	14952
3	354462	14982
12	267099	4900
16	418809	500
14	244872	4386
2	352146	18614
5	397969	13516
11	126134	17455
3	337891	19859
16	355278	1155
9	1950	26093
12	141045	13204
12	363867	1688
8	99043	23840
6	14658	31203
9	62981	24733
5	261785	17803
5	4808	30379
9	225649	14057
6	418183	11439
7	112026	24865
8	196139	16868
5	11732	34436
9	278085	8454
9	94977	21490
9	118197	18442
2	375475	15106
13	85305	18370
12	203225	9030
11	50426	21414
1	137453	33504
9	125059	22707
5	198206	19653
4	350033	18806
10	33303	24016
12	381782	2397
14	254752	6071
7	371652	13876
13	139973	9594
2	365528	13035
9	450293	2251
6	438897	6696
6	357148	13680
11	277082	8168
2	230172	26985
13	409190	500
17	54156	9208
3	195940	22914
9	347152	4850
4	250150	20188
8	463301	2511
7	233920	16993
3	286688	17229
11	426025	650
9	199040	11330
9	74389	24267
19	22292	9780
12	209967	10585
7	25835	28952
5	208934	20362
8	80011	23009
12	432288	500
1	50832	35685
7	369244	7808
6	459893	5697
10	438764	3931
20	34079	8432
10	401882	8461
15	86624	11005
12	219201	10318
5	479782	7728
9	222018	16056
10	99162	15925
8	206906	15198
14	94898	13888
4	176895	24788
7	22564	28265
4	351332	10072
1	200642	30063
3	417092	10351
4	331663	17116
9	346058	11743
8	322914	10978
5	204261	18078
13	263933	7229
14	15766	18030
1	419431	14784
11	326827	7663
16	11334	17188
10	195590	14494
5	482683	7211
5	219956	19170
8	359706	9467
16	312436	500
10	63365	22299
18	309703	500
1	259148	26085
7	178228	21552
5	325785	14247
9	82580	24063
10	173374	15587
14	97014	13601
11	197978	13353
3	271823	22688
11	430798	2192
1	198776	26850
11	149910	10460
9	431402	8762
3	313559	15904
6	123861	22609
1	58542	33229
1	288537	26143
1	167065	29212
4	318721	18512
10	196996	13184
15	131153	11588
4	59625	31549
7	276263	12920
8	237545	12775
3	172696	30845
13	457619	500
4	402658	14017
14	101499	14855
9	111691	17032
21	274912	500
2	195444	26747
8	124934	23356
8	16975	26360
13	165685	12303
4	406389	16348
2	35530	32860
1	339872	20419
1	363110	18665
6	1002	28384
3	57098	33082
9	162315	22637
8	105726	24637
12	308573	6748
8	281677	12755
1	46281	35481
6	480871	7765
8	343088	10709
15	22229	13020
8	64845	22225
13	396450	3065
16	33303	15462
7	5926	27553
5	270139	16083
6	56813	27637
12	137975	13228
11	163197	18670
6	21439	26336
17	314728	500
15	232517	3996
10	236186	13869
8	446278	6154
16	56796	13498
7	218900	19944
14	391992	772
14	174189	8768
13	359953	500
13	91260	15040
3	465977	12708
2	206207	29474
7	190681	13393
13	224486	7748
12	414060	500
10	125082	16175
7	489492	500
1	397400	17044
6	105864	24757
1	285187	22367
3	90697	29926
8	423156	8426
7	455601	5570
14	262838	5338
13	342631	3894
12	220513	11459
4	117416	30947
9	361509	4867
1	388891	18696
16	110816	11576
13	237760	8362
11	469040	500
3	210063	27040
4	163584	24577
2	132912	24640
3	9746	38735
7	113474	24086
3	237011	21727
2	145806	29320
11	387586	1849
9	279047	9405
4	112775	27763
1	36319	38553
10	8077	24366
13	37905	19145
11	114161	16107
11	441539	500
11	400971	1628
1	451005	14237
12	178148	9369
1	279563	22683
19	152756	1709
4	401693	13994
4	374226	10792
8	313681	6861
21	198791	500
8	55993	24651
3	170661	25281
13	293172	2108
1	230482	30868
8	209787	15664
4	428086	11063
1	217955	26309
7	366152	11470
3	440944	11660
8	489170	2043
18	459363	500
6	268861	14085
10	59911	21606
5	481786	3656
13	314990	3054
8	193780	17691
1	141501	29519
11	11589	21791
13	59179	16090
11	370204	5048
11	289897	8464
5	82584	30569
16	165322	7621
9	196929	17017
1	186068	25532
3	66443	30717
2	169172	27544
8	428391	5295
10	253260	13872
13	251310	7773
5	87239	25651
15	82284	13960
6	279909	17680
2	138310	28468
6	29452	27552
9	322667	9629
13	148253	12123
6	22945	27514
17	40997	9312
5	56408	29811
20	141635	2282
14	361256	1718
4	444741	9593
11	236309	8705
9	435543	2406
6	352199	13494
8	141169	21484
16	277012	1375
4	355943	12629
5	384685	7640
8	367753	6955
4	313735	15106
9	423948	7428
7	116983	21499
8	23194	27186
9	97695	19273
10	485435	500
3	319972	14792
9	436221	2474
20	495515	500
1	272521	24259
9	465529	500
7	424531	8466
13	16536	24073
5	492682	7275
7	176676	18619
19	116154	4582
1	288047	25002
1	390112	13643
9	346870	8736
9	201575	15291
2	259600	22752
5	234974	19890
7	447408	4564
9	361320	7101
10	100631	18909
14	479476	500
13	149209	14006
5	473593	9377
19	209528	500
14	197649	11895
15	269373	2596
6	496964	8941
4	356822	14034
3	188063	25746
1	316456	21732
15	434158	500
4	453026	10169
12	76677	17228
13	483226	500
17	108193	7678
6	4212	30002
4	153503	25553
8	7074	24050
9	107647	20614
11	120862	15846
7	3782	27558
5	90051	26986
12	406537	2187
4	218743	21606
11	114874	19523
7	478586	5016
22	36164	1438
9	331124	9214
5	373303	11526
8	253816	16799
9	452027	6118
11	210450	14604
10	326698	7591
6	370849	10365
6	102099	24877
16	44348	11629
3	170292	27736
1	351896	17639
2	286194	19715
8	181274	18494
11	387177	2821
10	339542	6875
10	139490	19096
5	245972	16509
1	314693	24007
11	279441	5524
1	55062	36195
1	174383	30774
9	491541	500
14	290308	2409
9	246366	12550
11	343817	4355
5	62249	27333
4	277038	21646
13	492980	500
8	256226	16171
6	245349	14865
15	350264	963
13	377907	500
6	111166	27179
11	447761	500
6	268895	16876
12	137315	12818
11	95045	13810
4	394393	13784
15	285140	6471
9	8384	23998
1	291474	20409
9	351107	5415
10	276877	11633
6	494151	6530
10	460828	500
2	61332	32191
7	97033	26212
10	398888	3507
12	283268	7869
15	190135	5045
1	43572	36555
12	213331	13791
2	32119	36021
8	124040	16822
9	166017	18034
1	382344	19525
14	322031	500
5	237964	20968
4	74203	30713
9	365567	8025
3	71131	34082
18	303298	1259
8	14560	27689
15	491507	500
5	159509	20353
2	66166	32591
3	149905	28532
5	219840	21805
1	108985	33553
8	68223	22616
2	432784	13816
4	322503	16737
11	477329	500
4	352558	17048
11	250849	10194
11	60728	18499
3	313282	15575
13	379557	680
18	161316	2817
22	391627	500
7	181030	19175
8	253085	12294
6	441700	7892
10	177938	15297
5	391305	10006
11	174585	13825
7	309277	14151
1	163269	27937
1	341062	20495
11	428716	2372
1	119976	31433
6	466287	7746
6	376272	10475
7	24959	28589
10	309508	10540
6	93975	26783
13	174012	9335
8	212369	15581
9	49061	19499
12	257011	4958
12	255199	9479
6	473796	4872
4	444415	12285
8	169719	14230
2	232575	23370
6	95668	23592
3	325022	17410
4	294017	16599
7	165589	20520
4	190110	24416
6	288817	17847
9	37608	22247
11	480607	500
11	205709	16447
11	98428	18350
9	78791	20588
4	259166	21169
9	226282	15706
6	293506	15450
13	83252	12668
4	317680	18847
1	494852	11687
7	172476	18941
10	322272	7179
21	327341	500
1	441649	13319
21	458482	500
16	414751	500
8	174525	17244
1	153264	29218
2	20724	32283
8	179417	20108
4	427580	10709
7	357632	10333
3	450764	10220
6	58781	28177
11	180395	14651
7	72611	23641
12	279342	7983
7	383252	8316
13	358820	1837
13	366865	979
10	329160	7488
10	122118	17492
12	429974	500
5	199537	20225
3	7567	33749
14	491374	500
6	212619	17969
5	414818	13859
13	316053	4689
2	212743	27211
13	444867	500
8	401761	4836
9	369648	4429
8	263221	11984
6	460086	6585
14	333205	3688
6	342148	13912
5	354254	12644
9	199012	16150
4	247875	23449
9	232697	14150
2	51203	35184
1	56385	36892
1	280750	22945
1	321035	21593
4	225082	22011
16	448881	500
5	414651	12379
11	289153	4918
10	436787	2366
17	156456	7823
6	450145	6721
1	17196	37442
12	396687	1294
14	234419	5603
7	456579	6422
11	370082	857
10	419929	1871
5	97204	27726
9	162283	16163
9	276598	11488
11	146311	16685
7	254495	15762
5	110527	24099
2	482139	10541
9	294519	8518
1	326100	21175
15	471025	500
1	106100	31658
8	61578	24323
1	269865	23340
12	428053	500
9	207753	16225
5	1130	33173
5	277031	18132
7	371132	9687
8	85136	22702
9	131596	18638
9	225959	12562
13	240922	7266
11	413999	3667
16	105677	10704
12	333487	1628
1	373735	18038
7	452760	8113
13	293752	4770
19	187045	1983
7	155736	22272
13	404071	500
8	117432	19783
5	147437	22522
13	156182	15914
11	347560	5193
26	90024	500
6	110176	21535
4	288696	14869
2	266286	22336
10	444121	500
13	289898	5377
12	270452	9105
2	26268	37147
23	67399	2054
11	381526	5036
9	387929	8497
7	138153	23447
7	437503	8566
11	87947	15219
9	469533	5555
1	325699	21665
1	290468	24823
9	369571	8700
5	175905	25384
12	448055	500
14	53831	13257
8	285898	11480
15	494437	500
10	308858	9422
12	211934	10106
7	95518	22484
1	187224	22652
3	304796	13167
3	87624	28338
10	245762	13421
11	259288	7274
1	83355	28068
11	497361	500
2	39112	32424
9	432326	1870
11	64762	19509
15	458551	500
1	469081	13064
18	181753	3719
6	403584	14721
6	263630	12498
18	332929	500
1	97892	33155
15	182386	7174
7	312818	17092
6	317098	13423
12	414140	1095
8	460748	4301
16	233862	1769
9	294405	10597
21	443715	500
6	131338	22996
8	289260	12051
6	459288	3249
9	407752	4973
10	152609	12664
8	375207	6205
10	456305	790
7	329765	13132
1	368117	22140
13	27429	22604
1	198965	26417
14	87756	10676
5	50625	28490
6	53199	27062
13	316094	4848
7	175922	19292
14	273747	4157
5	438033	6979
18	112441	7421
8	431847	3273
19	23768	7411
13	433308	500
2	415251	15677
7	305792	15067
10	486499	500
12	407114	3568
6	497745	7947
17	498300	500
21	22644	5196
7	218914	15634
10	234639	11757
19	92909	9400
1	447704	14832
1	10337	39877
1	395532	14483
9	333560	6502
6	472978	7061
6	488313	7352
10	17988	23913
8	416420	3892
1	178553	32474
10	188348	16098
9	58180	24045
17	111655	8826
3	420893	16273
9	274907	8523
9	484992	500
11	425965	2752
8	94857	23009
4	269718	18439
1	384385	17527
7	160543	21969
5	470830	7859
1	77743	32024
8	92713	22978
7	216533	18967
10	129271	18728
13	281134	8734
10	126203	17707
8	346465	8411
7	499638	4004
3	87242	28175
4	151190	27083
12	257626	8002
8	291711	10955
17	37286	8559
1	448205	16038
13	16537	19574
9	434366	3957
7	85875	21793
3	403370	14906
14	374578	500
10	142736	16127
18	138328	3632
7	118613	20399
8	372663	6001
2	493810	6029
9	33516	26158
12	394452	500
9	385835	7061
6	97213	27590
3	93425	31666
16	427379	500
2	74707	34086
14	226677	6449
12	490926	500
12	212451	12137
6	103084	28021
8	379594	6810
6	429676	6151
8	416534	4953
13	288949	6487
19	474097	500
6	145671	25650
5	439189	12262
10	133628	16447
9	479740	500
12	381043	1712
11	170015	10586
3	159838	27806
6	441608	6777
7	498430	6177
14	190331	8091
8	244322	11702
1	59293	35065
9	329441	9632
8	226772	15759
10	197091	14945
7	224916	14431
12	253779	11603
5	435490	11124
12	349712	3929
2	59590	32189
10	426827	1455
3	81689	33726
2	297421	23045
19	493413	500
4	74448	30002
9	442965	5230
3	60783	33925
10	269800	14279
13	363920	3213
1	436819	15935
3	7193	36465
1	83131	32988
1	75064	34256
16	216704	6075
12	109012	16040
6	124754	22110
8	447125	3887
5	217096	22225
4	247845	20326
1	421812	15345
10	50991	21900
7	25032	24288
6	252236	20008
1	498693	12295
13	412180	2549
11	13592	17861
5	465245	8988
9	103699	21260
10	377890	2944
5	466993	4832
21	169682	500
11	409145	3772
15	382853	500
12	298254	7089
5	492173	9061
4	187343	24917
14	299690	4334
12	204277	8698
1	414520	14649
10	276803	7136
10	34100	22611
16	358594	500
5	374187	10731
11	168065	11951
7	50857	28821
9	269802	15029
9	163931	16853
10	299039	10142
14	123843	14383
10	454405	500
13	205309	9411
4	314006	17443
16	227329	4204
9	322449	8698
4	220603	23260
7	259769	15891
1	214651	27625
7	91503	22209
13	184926	10116
7	247060	15530
2	476592	13043
8	302141	14891
9	378745	9746
4	380830	13849
3	146920	29795
3	225874	27856
11	443563	958
1	158035	26716
6	75961	26334
14	348927	1773
11	92166	19656
4	124924	29782
6	426563	8422
10	27895	23370
10	58605	17448
4	286666	18172
6	288324	16100
19	190884	840
5	247185	18251
9	427145	5211
4	223692	21779
11	49594	21360
7	361075	11681
1	371060	20501
15	305970	500
9	157910	18927
4	391542	15812
7	486201	3571
22	94634	500
2	51813	32586
10	326900	6449
7	244979	13326
6	270382	19312
19	213775	1016
11	31061	17415
7	385138	9599
1	55341	31872
1	123216	29547
8	148092	22618
3	307589	18273
11	372782	6110
7	212715	17604
15	407929	500
15	330605	500
16	329607	500
10	151575	16810
7	201659	18372
9	61676	22200
1	478580	13644
2	116752	31176
7	392067	10186
6	273589	16676
11	330859	3265
6	354134	10188
13	416769	500
14	113802	14049
12	51020	21945
19	147581	5890
12	141499	10757
6	136	33224
7	415383	4847
6	302968	14851
11	312973	7670
12	350988	500
12	83423	18937
11	54474	20550
2	172718	26574
13	76627	16051
1	210167	27363
3	94412	26343
4	256489	22300
21	171623	500
13	182250	12002
2	248731	26983
12	472420	500
10	42711	20842
3	220018	20155
10	311167	9893
9	295464	12176
12	51046	18339
3	143464	25128
10	319844	10229
11	338498	6286
4	490954	10845
4	75483	30779
1	266845	19444
6	89429	28767
8	167418	19655
8	202415	20449
6	390895	9028
4	147133	22178
10	7591	27054
13	40010	18739
10	97447	19043
8	23631	26374
2	388350	19425
9	411968	1711
22	160660	500
1	407854	15314
4	100388	25868
14	394231	500
8	301828	12517
1	125182	30440
6	218686	19401
2	57256	32452
5	9124	26466
12	203834	11965
2	215430	25006
8	104980	24517
6	208282	16216
13	61325	15430
4	67462	28300
10	323558	5955
6	488505	4838
6	121141	23295
13	50385	14076
20	114231	3684
14	364089	713
11	241244	12275
7	485158	1491
12	48524	21436
2	385286	16052
15	9365	15144
3	305755	18751
5	68626	26081
7	146564	20264
8	242752	13782
8	226325	13948
10	239742	9666
6	199368	17359
10	169243	14809
3	9253	30569
2	26191	32434
5	112883	22209
13	492740	500
2	5688	32231
15	387186	500
9	223709	16036
11	74481	15622
5	141744	26088
10	454313	983
11	261214	9846
9	225847	13193
12	398964	2532
1	146873	33029
13	214919	10474
1	470322	14871
6	62109	23275
1	356092	23006
13	304950	5904
10	254238	10721
6	281175	16201
7	246794	14990
13	251701	5814
4	393267	15638
7	328021	12761
15	21146	18377
12	403353	500
8	358648	9483
10	445433	500
5	369003	9105
18	385343	500
14	257994	8864
9	87851	22655
1	14416	36299
8	161090	21678
1	394069	16612
8	102411	20553
12	81930	16051
2	491142	10237
23	65127	3405
6	245306	19539
4	214434	21446
9	208810	16971
5	213202	22778
6	151060	22457
4	179349	22364
2	458703	12619
9	63421	20961
3	420809	13864
8	83115	18391
1	485811	15583
2	269761	21652
12	106474	14922
10	222145	9381
1	317120	17931
4	392606	11317
12	164025	12991
6	270623	13361
16	391601	500
5	399133	9537
12	453138	877
1	150812	34111
2	196868	24476
3	265133	20549
14	94672	13059
7	274200	13364
7	488953	2999
14	499956	500
7	22562	22651
7	43027	28652
3	175635	22552
13	198307	8827
14	31704	14642
16	440526	500
2	298687	21250
8	268414	16216
8	3587	30323
11	409143	2323
10	18297	23151
13	349538	2180
9	468869	2851
12	116186	12532
5	138410	24526
11	437611	500
8	444844	4466
5	240	28008
2	21565	34873
17	49456	10693
15	62487	11831
1	2550	37340
13	217524	9303
6	466414	5183
12	187264	13927
14	226141	3742
9	197146	14413
10	192652	8127
16	17631	10825
1	164510	29680
1	294164	22312
2	340461	17747
1	371872	16184
7	38440	28191
1	230497	27138
3	199800	26573
12	476061	500
17	468013	500
10	461024	500
1	400483	20775
13	175269	8304
13	474331	500
10	399648	2690
7	130703	19013
1	358185	19449
1	295804	19277
15	235735	6866
4	127921	24878
1	429137	18438
4	434602	10793
5	105979	27530
8	459002	3502
10	191692	13330
8	492985	3445
15	189856	6782
5	203147	21883
8	16000	27495
7	446680	3473
3	144896	28843
2	171585	27650
8	48011	22624
3	257278	25716
9	453943	4903
13	328034	1637
13	232324	7742
6	457071	6848
11	54116	18707
7	168684	17898
11	3014	25429
13	348794	2496
15	324140	2606
9	13184	22982
8	269778	14189
8	322813	9279
5	194382	23198
5	165783	22456
7	14948	29121
17	349154	500
6	131102	22403
2	179544	25705
14	126544	12694
7	291814	14137
11	309272	4576
5	483945	7704
10	497833	657
12	24860	21952
8	465753	8425
5	277555	17207
5	230790	21979
11	105706	20695
16	241770	2552
8	132395	20411
17	84925	9828
1	220853	25542
14	97618	16595
3	65319	30989
11	177166	14209
6	163396	21497
16	154324	3171
11	330464	5353
14	309803	3342
1	331471	21864
9	322988	9565
5	497802	8708
9	113408	21093
9	110629	21790
16	340005	500
9	472774	5041
12	48817	21419
1	467035	16747
13	219097	6985
15	290454	1381
1	230635	26280
13	282147	2346
11	86067	18338
14	471565	500
1	209525	25842
12	491674	500
10	230180	10743
15	431698	500
9	69569	18898
5	467049	6386
4	69707	31950
13	383416	4248
1	364804	15998
20	378868	500
3	150352	24032
5	185655	28386
7	416860	6639
12	19937	19944
11	299183	6680
7	267518	15319
11	440790	2113
11	255307	13072
13	454081	500
8	262557	12817
11	286596	5505
9	450107	886
6	465248	8988
11	463292	500
12	400894	2234
12	30527	22917
11	24704	21994
3	409486	14436
6	145149	23058
12	133492	13081
14	173521	9799
4	451701	12331
4	156136	24273
13	3855	21178
10	335733	6269
12	415513	500
7	37011	26180
5	205228	20598
4	69943	28957
13	352341	3271
16	231564	855
3	345839	19102
1	211312	26736
9	388009	9931
6	206345	19423
8	174465	17995
10	460673	500
1	445487	14361
3	188009	23403
12	486460	500
9	412106	5047
7	119243	23591
15	15427	16689
14	348648	2018
11	396952	1120
7	195992	19740
15	447213	500
1	33900	36183
13	90118	13256
6	96834	23228
14	289164	2640
9	21538	26369
2	149565	29537
6	355339	15357
8	294979	11802
11	388948	1870
8	247378	15595
13	359161	500
6	352157	17021
1	318644	21835
9	350351	4800
12	280440	6125
11	491309	500
14	468167	500
10	139457	16046
8	107717	23654
8	226740	14921
3	479255	10487
12	363041	2595
13	362305	2917
10	390188	6167
3	461406	13022
1	223710	24473
1	147140	28294
7	250594	20311
4	35808	30453
4	130026	26354
3	471132	11919
10	65193	19838
6	51809	28928
10	252111	12395
8	139925	18839
5	481179	12590
9	157399	15746
12	297154	6993
5	252285	20168
12	59193	18174
11	9930	20578
10	421998	4423
11	172479	11287
6	28104	29348
11	116880	16571
7	74387	23633
1	182675	30882
1	437372	13868
3	173150	29518
20	150704	500
18	56250	6691
9	34209	23611
5	195559	22344
1	301424	25193
11	273373	10886
9	350729	8235
12	365491	1949
10	297197	5749
17	495311	500
7	267996	12342
1	383061	16490
13	282922	5996
10	255314	11002
5	382263	16034
6	245947	17425
5	326017	16217
10	25851	24324
20	471908	500
7	336797	11323
8	392641	7332
4	313977	17893
5	69676	30444
13	22475	17969
3	13596	30931
11	438879	500
5	212388	23658
10	260807	12189
3	410084	12302
5	132143	21892
1	51657	36471
2	137048	30592
3	308896	21169
9	79725	22344
14	414664	500
12	492629	500
14	466988	500
4	486922	9385
12	359755	3634
15	156668	8851
7	42469	25823
10	40182	24010
11	468647	685
1	297521	20421
12	304332	5859
7	163151	19714
10	365120	6254
14	52890	15970
7	412451	7095
11	306964	6796
2	15254	34225
6	257806	18336
12	430372	500
2	88778	30625
13	474073	500
6	131984	22625
1	198491	27196
16	343446	500
10	7998	23740
6	347274	12690
12	296427	5256
12	253295	10158
7	414952	6220
1	441272	13320
4	319751	16018
21	404789	500
14	109561	14478
9	179006	17974
14	306114	693
8	255891	16319
9	10492	26824
9	264411	11865
7	441494	5529
1	399779	17317
10	347025	2689
16	374837	500
10	475208	818
18	96638	9184
1	367803	16790
13	275370	6207
6	250897	17633
8	242403	12151
11	18870	21895
23	309666	500
1	253639	23886
18	466348	500
10	77764	18897
4	187071	22967
12	54185	21366
2	279245	26130
12	133363	17199
2	68456	35232
13	230366	4311
12	184363	13568
3	45524	30405
8	261336	16825
9	345025	3513
6	476621	7505
2	261144	24543
5	262510	17180
8	162895	19373
9	50668	21842
15	435940	500
12	40550	19922
5	22512	32410
4	79355	29356
5	361511	16580
12	55750	19625
3	296153	22584
5	315982	18241
3	360267	18051
8	65207	23786
13	261013	8634
11	60011	16551
