"year" "area" "price"
"360" 1 32 43778
"361" 28 42 5000
"362" 7 35 33556
"363" 2 62 70588
"364" 28 88 43469
"365" 4 61 64958
"366" 18 42 17618
"367" 19 111 82210
"368" 17 48 26175
"369" 24 72 35688
"370" 22 35 5000
"371" 20 57 28103
"372" 12 65 52925
"373" 4 36 41075
"374" 15 43 25663
"375" 29 35 5000
"376" 28 31 5000
"377" 23 34 5000
"378" 9 40 34434
"379" 23 36 5000
"380" 12 39 28195
"381" 20 43 15884
"382" 24 144 103502
"383" 28 77 32421
"384" 9 53 47415
"385" 2 65 71958
"386" 8 48 44328
"387" 2 74 81436
"388" 23 31 5000
"389" 23 62 28409
"390" 1 114 119974
"391" 19 64 38156
"392" 0 34 47332
"393" 9 40 34548
"394" 15 40 22915
"395" 11 103 90206
"396" 11 103 90936
"397" 23 56 22439
"398" 21 33 5124
"399" 14 35 20612
"400" 6 39 39741
"401" 6 55 55059
"402" 21 44 15635
"403" 19 73 45541
"404" 17 38 17038
"405" 22 48 16213
"406" 7 43 41259
"407" 22 31 5000
"408" 15 31 13875
"409" 29 49 5000
"410" 22 75 42244
"411" 15 33 15960
"412" 4 46 50661
"413" 8 50 46731
"414" 18 46 21999
"415" 18 36 13753
"416" 4 42 47438
"417" 5 47 49942
"418" 8 46 42722
"419" 24 47 11362
"420" 18 48 24682
"421" 14 61 44847
"422" 1 38 49173
"423" 7 30 28586
"424" 1 44 55389
"425" 2 109 114348
"426" 5 105 104366
"427" 20 64 36402
"428" 23 55 21170
"429" 20 32 5861
"430" 18 58 33169
"431" 16 31 12384
"432" 8 72 66522
"433" 3 31 37018
"434" 18 37 13813
"435" 18 39 16019
"436" 14 54 37244
"437" 21 37 7469
"438" 7 94 89973
"439" 11 33 24081
"440" 1 76 85104
"441" 7 30 29653
"442" 28 35 5000
"443" 4 59 63275
"444" 20 30 5000
"445" 4 57 60841
"446" 27 42 5000
"447" 0 38 51129
"448" 12 38 26543
"449" 26 111 69145
"450" 19 32 7609
"451" 2 38 48309
"452" 25 55 17170
"453" 20 44 17167
"454" 15 36 19357
"455" 27 57 14250
"456" 5 37 40185
"457" 25 32 5000
"458" 3 55 62312
"459" 20 68 39759
"460" 16 50 31061
"461" 25 49 12089
"462" 18 37 14812
"463" 14 38 23093
"464" 0 43 55304
"465" 6 34 35809
"466" 25 92 52746
"467" 24 34 5000
"468" 30 32 5000
"469" 28 31 5000
"470" 23 74 39572
"471" 8 47 43511
"472" 3 48 53890
"473" 4 51 55223
"474" 27 38 5000
"475" 8 45 40786
"476" 17 77 53515
"477" 23 87 51817
"478" 9 46 40934
"479" 4 65 68596
"480" 3 33 40491
"481" 28 52 8071
"482" 14 36 20343
"483" 27 102 57507
"484" 29 55 8710
"485" 10 53 44835
"486" 9 81 73730
"487" 8 81 76070
"488" 5 54 56131
"489" 14 77 59526
"490" 12 40 28779
"491" 1 55 65438
"492" 20 47 18903
"493" 22 40 9064
"494" 22 31 5000
"495" 9 40 35005
"496" 27 78 34832
"497" 27 36 5000
"498" 16 65 45063
"499" 13 32 19093
"500" 3 39 45204
"501" 2 33 42379
"502" 3 53 58757
"503" 18 47 23750
"504" 29 32 5000
"505" 19 42 16355
"506" 18 42 18545
"507" 16 30 11079
"508" 10 48 40275
"509" 20 41 14468
"510" 19 33 8846
"511" 2 61 69793
"512" 6 52 52312
"513" 29 33 5000
"514" 30 37 5000
"515" 23 37 5000
"516" 28 61 17243
"517" 17 40 19087
"518" 30 93 43845
"519" 10 92 82358
"520" 27 41 5000
"521" 8 43 40211
"522" 21 37 8174
"523" 29 74 27250
"524" 23 34 5000
"525" 25 35 5000
"526" 15 58 39585
"527" 12 56 44471
"528" 25 57 18816
"529" 19 31 5559
"530" 16 76 54536
"531" 25 69 30469
"532" 17 31 10294
"533" 27 38 5000
"534" 6 55 55699
"535" 29 49 5000
"536" 30 44 5000
"537" 25 42 5124
"538" 14 40 25364
"539" 17 63 41246
"540" 17 116 91182
"541" 26 39 5000
"542" 23 44 10168
"543" 13 45 31230
"544" 15 63 44962
"545" 18 31 8386
"546" 9 51 45882
"547" 25 40 5000
"548" 30 45 5000
"549" 18 40 17577
"550" 28 42 5000
"551" 6 50 50628
"552" 6 153 148835
"553" 11 56 46467
"554" 22 37 6055
"555" 24 41 5298
"556" 6 39 40455
"557" 13 43 30180
"558" 22 39 7935
"559" 9 38 32981
"560" 24 32 5000
"561" 18 100 74734
"562" 17 89 66056
"563" 2 61 68931
"564" 6 39 40618
"565" 27 46 5000
"566" 1 40 50789
"567" 13 48 34723
"568" 30 42 5000
"569" 29 34 5000
"570" 18 30 8051
"571" 1 38 48518
"572" 3 54 60819
"573" 19 62 35643
"574" 26 34 5000
"575" 20 32 5000
"576" 27 32 5000
"577" 4 54 58714
"578" 11 41 31538
"579" 1 48 57651
"580" 20 31 5000
"581" 0 65 76745
"582" 26 45 5891
"583" 24 41 5934
"584" 22 40 8789
"585" 13 46 33450
"586" 24 36 5000
"587" 21 34 5538
"588" 30 41 5000
"589" 26 45 5820
"590" 11 41 32185
"591" 22 42 10791
"592" 21 30 5000
"593" 22 36 5751
"594" 17 54 31454
"595" 4 48 52592
"596" 2 46 54382
"597" 4 34 38789
"598" 12 32 21077
"599" 2 58 65144
"600" 2 50 58913
"601" 17 30 9576
"602" 26 41 5000
"603" 2 63 70779
"604" 14 42 26879
"605" 5 32 36151
"606" 18 55 30617
"607" 4 83 85296
"608" 11 35 25787
"609" 28 44 5000
"610" 15 39 21907
"611" 28 38 5000
"612" 14 98 78933
"613" 12 102 87777
"614" 17 45 23510
"615" 21 33 5000
"616" 14 40 24770
"617" 27 46 5000
"618" 13 33 20001
"619" 8 42 38600
"620" 16 30 11890
"621" 16 32 13094
"622" 24 39 5000
"623" 16 58 38597
"624" 23 35 5000
"625" 18 37 14330
"626" 20 50 22706
"627" 11 39 29613
"628" 28 58 13648
"629" 22 39 8586
"630" 9 43 37549
"631" 17 92 67756
"632" 23 32 5000
"633" 20 33 6334
"634" 2 30 39912
"635" 6 68 67622
"636" 28 98 51592
"637" 14 31 16910
"638" 9 48 42579
"639" 11 63 52631
"640" 7 54 52192
"641" 20 40 12855
"642" 26 82 41681
"643" 28 33 5000
"644" 28 65 20089
"645" 28 32 5000
"646" 6 30 31666
"647" 14 38 23119
"648" 16 47 27982
"649" 27 43 5000
"650" 3 44 50907
"651" 30 40 5000
"652" 9 80 73328
"653" 19 76 49631
"654" 24 56 20666
"655" 2 33 41806
"656" 28 50 6304
"657" 16 66 46788
"658" 0 33 45683
"659" 22 37 6137
"660" 11 69 58022
"661" 24 47 11948
"662" 11 39 30511
"663" 28 32 5000
"664" 10 33 26659
"665" 14 35 20965
"666" 20 78 48559
"667" 19 30 5775
"668" 28 62 17841
"669" 1 58 67320
"670" 21 55 26144
"671" 12 70 56752
"672" 11 57 47192
"673" 18 107 81231
"674" 2 91 97357
"675" 14 63 47211
"676" 5 32 34980
"677" 10 60 52119
"678" 22 59 27312
"679" 21 46 16967
"680" 12 73 61518
"681" 15 30 13181
"682" 13 40 27289
"683" 22 40 9582
"684" 23 39 6564
"685" 22 37 6115
"686" 21 34 6201
"687" 23 46 13226
"688" 22 50 19119
"689" 8 39 35644
"690" 7 40 38013
"691" 22 31 5000
"692" 0 48 60648
"693" 27 32 5000
"694" 9 34 29138
"695" 11 48 39074
"696" 20 35 8300
"697" 9 53 48241
"698" 0 38 51188
"699" 10 32 25426
"700" 3 39 45957
"701" 8 31 28730
"702" 3 40 46953
"703" 2 47 56082
"704" 12 34 22623
"705" 28 37 5000
"706" 6 61 60400
"707" 22 57 25731
"708" 22 50 17443
"709" 1 31 42070
"710" 29 58 12020
"711" 17 71 48975
"712" 19 32 7223
"713" 2 37 46063
"714" 26 65 25285
"715" 6 33 33869
"716" 0 32 44988
"717" 28 56 12377
"718" 25 40 5000
"719" 10 30 24194
"720" 7 46 45298
"721" 26 43 5000
"722" 23 72 37680
"723" 13 70 55584
"724" 1 75 84508
"725" 10 32 24561
"726" 10 66 57701
"727" 15 58 41334
"728" 25 45 7022
"729" 5 46 48321
"730" 19 44 17901
"731" 17 41 19792
"732" 3 60 66169
"733" 15 30 14646
"734" 9 30 25416
"735" 14 49 33017
"736" 5 32 35655
"737" 15 34 17654
"738" 8 65 60770
"739" 21 42 12511
"740" 2 51 59022
"741" 22 99 65857
"742" 6 44 45081
"743" 17 56 32697
"744" 1 48 58472
"745" 3 31 37154
"746" 24 76 38289
"747" 4 53 57027
"748" 10 69 60689
"749" 9 42 37643
"750" 8 55 50474
"751" 24 39 5000
"752" 18 52 27842
"753" 29 51 5671
"754" 26 54 13833
"755" 28 33 5000
"756" 8 128 121313
"757" 2 104 109478
"758" 2 33 42358
"759" 28 42 5000
"760" 19 41 15883
"761" 2 42 51485
"762" 24 43 8006
"763" 15 45 27472
"764" 25 65 27336
"765" 20 32 5336
"766" 27 85 41498
"767" 1 78 86979
"768" 23 56 22175
"769" 26 31 5000
"770" 18 44 20939
"771" 20 59 31215
"772" 1 40 52673
"773" 10 31 24142
"774" 22 36 5336
"775" 17 64 41744
"776" 24 77 40480
"777" 17 64 41324
"778" 12 51 39332
"779" 1 51 61614
"780" 12 102 87598
"781" 26 61 21332
"782" 19 64 38100
"783" 14 40 24817
"784" 15 50 32819
"785" 24 85 47840
"786" 21 41 11984
"787" 29 30 5000
"788" 24 42 6535
"789" 8 33 30645
"790" 6 33 35459
"791" 9 44 37849
"792" 14 31 16752
"793" 1 55 64132
"794" 6 38 38314
"795" 23 83 47604
"796" 17 65 42600
"797" 23 35 5000
"798" 23 69 34421
"799" 14 32 17446
"800" 10 63 55446
"801" 4 35 40451
"802" 30 46 5000
"803" 26 32 5000
"804" 10 39 31841
"805" 19 43 17834
"806" 2 34 43944
"807" 27 44 5000
"808" 23 88 51741
"809" 23 76 41050
"810" 8 43 39865
"811" 0 39 51528
"812" 13 40 27750
"813" 28 51 7892
"814" 19 31 6520
"815" 21 44 14679
"816" 8 33 29809
"817" 29 64 17753
"818" 11 49 38858
"819" 7 32 31322
"820" 14 40 25507
"821" 1 30 41344
"822" 13 56 42378
"823" 29 45 5000
"824" 24 31 5000
"825" 22 36 5000
"826" 20 31 5000
"827" 14 67 50257
"828" 16 31 11951
"829" 18 38 15002
"830" 27 51 8764
"831" 28 45 5000
"832" 26 41 5000
"833" 2 43 51512
"834" 22 43 12074
"835" 15 30 13504
"836" 17 86 62448
"837" 6 38 38850
"838" 16 50 31167
"839" 4 32 38369
"840" 11 54 43751
"841" 1 45 55449
"842" 18 35 13346
"843" 19 37 11867
"844" 28 54 9379
"845" 10 81 71397
"846" 23 32 5000
"847" 17 37 16382
"848" 16 31 12808
"849" 11 53 43233
"850" 19 34 10156
"851" 0 35 47862
"852" 0 44 57061
"853" 22 33 5000
"854" 14 36 21817
"855" 14 31 15962
"856" 0 49 61384
"857" 28 34 5000
"858" 4 31 36841
"859" 1 35 45856
"860" 27 69 25774
"861" 9 53 47409
"862" 19 39 14150
"863" 8 52 48349
"864" 7 33 32343
"865" 5 40 43329
"866" 12 53 41924
"867" 11 32 24211
"868" 11 30 21887
"869" 11 40 31608
"870" 11 33 23584
"871" 2 42 50527
"872" 19 46 20077
"873" 17 38 17576
"874" 3 31 38854
"875" 20 47 19248
"876" 29 31 5000
"877" 25 55 16968
"878" 7 40 38828
"879" 3 52 57884
"880" 7 35 34180
"881" 28 60 16088
"882" 3 39 46536
"883" 11 32 23401
"884" 16 42 23197
"885" 10 31 24443
"886" 20 33 6319
"887" 12 43 31746
"888" 10 47 39512
"889" 5 44 46782
"890" 16 45 25601
"891" 10 43 36237
"892" 30 45 5000
"893" 9 41 36427
"894" 1 142 148230
"895" 6 44 44007
"896" 24 104 65578
"897" 4 68 72109
"898" 15 34 17503
"899" 3 44 51535
"900" 1 34 44605
"901" 11 45 36541
"902" 25 76 36686
"903" 1 33 44237
"904" 22 38 7043
"905" 4 36 41360
"906" 28 55 11907
"907" 1 34 45211
"908" 5 34 36971
"909" 18 37 13765
"910" 26 32 5000
"911" 1 33 44311
"912" 27 61 19860
"913" 4 72 75218
"914" 16 73 52595
"915" 24 56 21304
"916" 15 59 40605
"917" 2 50 59524
"918" 29 32 5000
"919" 24 45 9608
"920" 7 54 52264
"921" 13 33 20242
"922" 15 48 30793
"923" 17 39 17372
"924" 23 91 55152
"925" 9 45 39396
"926" 17 44 23593
"927" 23 41 8120
"928" 30 32 5000
"929" 28 62 18353
"930" 0 40 53054
"931" 24 56 20546
"932" 12 34 23901
"933" 20 34 7813
"934" 5 47 49711
"935" 1 31 42163
"936" 20 32 5981
"937" 29 33 5000
"938" 19 50 23948
"939" 24 36 5000
"940" 10 64 56076
"941" 12 53 40402
"942" 20 56 27997
"943" 17 49 27417
"944" 29 43 5000
"945" 8 31 28805
"946" 28 32 5000
"947" 9 91 82265
"948" 22 32 5000
"949" 26 31 5000
"950" 27 31 5000
"951" 19 36 10600
"952" 24 39 5000
"953" 28 47 5000
"954" 4 35 39180
"955" 6 93 91397
"956" 26 35 5000
"957" 17 39 18236
"958" 14 62 46575
"959" 2 104 108875
"960" 23 43 10060
"961" 1 78 86087
"962" 2 39 48142
"963" 20 33 7111
"964" 6 55 55585
"965" 29 32 5000
"966" 10 44 37216
"967" 23 39 5826
"968" 13 49 35715
"969" 12 46 35053
"970" 23 41 7280
"971" 27 72 29428
"972" 9 52 46080
"973" 8 49 45231
"974" 27 40 5000
"975" 8 66 62526
"976" 20 51 23312
"977" 10 47 40482
"978" 4 53 56537
"979" 8 40 37696
"980" 26 57 17882
"981" 26 70 29435
"982" 17 30 10378
"983" 24 38 5000
"984" 1 46 56626
"985" 10 109 98163
"986" 27 40 5000
"987" 25 32 5000
"988" 16 53 32915
"989" 25 52 14455
"990" 7 55 52520
"991" 15 36 18810
"992" 16 49 28271
"993" 6 84 82145
"994" 29 34 5000
"995" 12 37 25950
"996" 22 54 22350
"997" 7 41 39917
"998" 11 75 63655
"999" 17 31 11188
"1000" 16 57 36959
"1001" 0 42 55392
"1002" 24 63 27042
"1003" 26 74 34605
"1004" 18 49 25611
"1005" 10 106 95574
"1006" 12 34 22901
"1007" 11 36 26720
"1008" 12 67 55312
"1009" 1 30 42676
"1010" 14 33 18517
"1011" 1 60 69737
"1012" 18 31 8463
"1013" 5 34 37196
"1014" 22 76 42802
"1015" 16 72 51290
"1016" 5 48 50011
"1017" 2 44 52707
"1018" 27 73 30602
"1019" 2 51 59729
"1020" 11 45 36272
"1021" 5 70 73087
"1022" 19 65 38776
"1023" 27 40 5000
"1024" 14 57 40497
"1025" 29 70 23037
"1026" 1 37 47781
"1027" 6 38 38670
"1028" 9 60 53869
"1029" 11 40 30893
"1030" 13 44 30622
"1031" 14 33 17569
"1032" 24 33 5000
"1033" 7 47 46036
"1034" 24 35 5000
"1035" 9 37 32164
"1036" 19 97 68914
"1037" 11 48 38685
"1038" 11 47 38654
"1039" 0 57 69108
"1040" 16 97 75161
"1041" 26 88 47025
"1042" 16 33 14370
"1043" 2 77 84687
"1044" 1 112 119128
"1045" 11 39 29837
"1046" 20 31 5000
"1047" 6 53 53024
"1048" 8 32 29387
"1049" 5 50 52403
"1050" 16 33 13808
"1051" 16 57 37507
"1052" 15 42 24570
"1053" 27 36 5000
"1054" 28 34 5000
"1055" 29 43 5000
"1056" 10 32 26893
"1057" 17 39 17680
"1058" 23 41 8309
"1059" 15 78 59415
"1060" 16 49 29410
"1061" 16 47 27874
"1062" 7 44 42319
"1063" 20 74 45266
"1064" 12 58 46190
"1065" 3 71 76278
"1066" 8 39 35717
"1067" 15 47 29275
"1068" 12 41 29807
"1069" 6 54 54260
"1070" 17 39 17498
"1071" 13 39 26159
"1072" 16 34 15106
"1073" 1 38 49157
"1074" 17 67 44758
"1075" 15 32 15005
"1076" 4 66 69379
"1077" 13 65 51150
"1078" 14 73 56725
"1079" 7 53 50878
"1080" 0 42 53913
"1081" 15 44 26651
"1082" 23 44 11198
"1083" 19 136 106024
"1084" 11 31 22210
"1085" 7 77 74044
"1086" 9 31 25702
"1087" 26 97 55339
"1088" 9 31 26172
"1089" 2 31 39917
"1090" 2 87 93064
"1091" 8 48 44799
"1092" 7 58 56030
"1093" 0 30 42957
"1094" 7 59 56696
"1095" 1 41 52428
"1096" 18 60 35230
"1097" 17 36 15013
"1098" 4 50 54615
"1099" 12 35 24061
"1100" 20 40 13004
"1101" 8 42 39619
"1102" 16 48 28964
"1103" 3 35 41861
"1104" 25 42 5000
"1105" 24 33 5000
"1106" 4 37 42521
"1107" 22 70 37765
"1108" 6 35 36804
"1109" 25 34 5000
"1110" 16 32 13156
"1111" 22 35 5000
"1112" 2 57 65347
"1113" 3 47 54061
"1114" 14 55 40286
"1115" 5 83 84080
"1116" 26 70 29365
"1117" 29 31 5000
"1118" 14 53 37078
"1119" 3 32 39299
"1120" 27 45 5000
"1121" 16 48 27974
"1122" 17 35 14048
"1123" 8 34 31158
"1124" 0 47 58689
"1125" 2 32 40688
"1126" 10 34 26686
"1127" 14 47 31887
"1128" 15 69 50050
"1129" 1 70 80645
"1130" 10 33 25752
"1131" 26 30 5000
"1132" 24 89 51443
"1133" 6 110 108211
"1134" 27 33 5000
"1135" 27 34 5000
"1136" 11 47 37332
"1137" 12 40 29011
"1138" 2 39 48066
"1139" 22 36 5851
"1140" 24 45 10316
"1141" 12 30 19752
"1142" 8 40 37341
"1143" 9 88 80420
"1144" 14 81 64240
"1145" 21 30 5000
"1146" 4 40 45341
"1147" 14 38 23564
"1148" 7 37 36687
"1149" 18 132 104561
"1150" 0 44 56494
"1151" 22 55 23777
"1152" 15 33 16953
"1153" 3 63 68829
"1154" 21 48 18985
"1155" 24 70 33671
"1156" 27 83 39779
"1157" 16 57 37280
"1158" 4 34 38922
"1159" 5 116 115302
"1160" 23 98 61997
"1161" 29 120 71561
"1162" 30 30 5000
"1163" 26 36 5000
"1164" 2 100 105208
"1165" 7 39 38110
"1166" 15 33 15916
"1167" 14 70 53542
"1168" 5 47 49933
"1169" 13 32 19063
"1170" 20 45 18813
"1171" 9 87 79741
"1172" 25 45 7649
"1173" 4 43 47968
"1174" 23 34 5000
"1175" 28 31 5000
"1176" 2 33 43326
"1177" 18 88 62465
"1178" 2 39 48155
"1179" 26 68 27589
"1180" 11 42 32844
"1181" 5 44 46811
"1182" 23 55 22276
"1183" 19 46 21530
"1184" 17 43 22254
"1185" 6 33 34220
"1186" 3 33 40163
"1187" 23 34 5000
"1188" 9 114 105170
"1189" 11 45 36118
"1190" 14 38 23243
"1191" 23 43 9795
"1192" 9 90 82619
"1193" 27 32 5000
"1194" 10 75 65963
"1195" 9 57 50944
"1196" 22 43 11570
"1197" 8 59 55571
"1198" 14 38 23253
"1199" 21 66 35430
"1200" 22 49 16405
"1201" 16 31 13697
"1202" 3 80 85788
"1203" 3 66 71074
"1204" 17 93 69486
"1205" 17 62 40076
"1206" 5 41 42894
"1207" 23 46 12047
"1208" 30 36 5000
"1209" 26 64 23661
"1210" 22 39 8017
"1211" 30 32 5000
"1212" 19 42 15941
"1213" 13 60 47004
"1214" 23 56 21567
"1215" 25 30 5000
"1216" 26 59 19306
"1217" 29 57 11376
"1218" 17 36 13977
"1219" 13 38 25681
"1220" 17 39 18853
"1221" 15 45 27991
"1222" 2 39 48344
"1223" 18 93 67867
"1224" 8 72 67494
"1225" 10 39 31698
"1226" 19 31 6365
"1227" 29 33 5000
"1228" 0 49 60947
"1229" 14 40 24869
"1230" 16 53 33479
"1231" 18 84 58659
"1232" 25 31 5000
"1233" 13 34 20894
"1234" 5 68 69990
"1235" 1 50 60536
"1236" 28 55 11390
"1237" 11 41 32241
"1238" 25 32 5000
"1239" 20 35 7997
"1240" 30 80 31179
"1241" 20 35 8139
"1242" 13 45 32731
"1243" 16 45 25888
"1244" 18 37 14158
"1245" 26 36 5000
"1246" 21 36 8030
"1247" 22 105 71288
"1248" 14 37 22419
